classification,name,count
root,,0
Butyriboletus,Butyriboletus,1
Chromista,Chromista,0
Chromista|Oomycota,Oomycot,0
Chromista|Oomycota|Oomycetes,Oomycete,0
Chromista|Oomycota|Oomycetes|Peronosporales,Peronosporale,0
Chromista|Oomycota|Oomycetes|Peronosporales|Albuginaceae,Albuginacea,0
Chromista|Oomycota|Oomycetes|Peronosporales|Albuginaceae|Albugo,Albug,16
Chromista|Oomycota|Oomycetes|Peronosporales|Albuginaceae|Cystopus,Cystopu,4
Chromista|Oomycota|Oomycetes|Peronosporales|Peronosporaceae,Peronosporacea,0
Chromista|Oomycota|Oomycetes|Peronosporales|Peronosporaceae|Peronospora,Peronospor,11
Fungi,Fungi,1
Fungi|Algae,Alga,0
Fungi|Algae|Basidiomycota,Basidiomycot,0
Fungi|Algae|Basidiomycota|Agaricomycotina,Agaricomycotin,0
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes,Agaricomycete,0
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae,Agaricomycetida,0
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales,Agaricale,0
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tubiferaceae,Tubiferacea,0
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tubiferaceae|Agaricaceae,Agaricacea,0
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tubiferaceae|Agaricaceae|Lycoperdon,Lycoperdo,51
Fungi|Ascomycota,Ascomycot,0
Fungi|Ascomycota|Pezizomycotina,Pezizomycotin,3
Fungi|Ascomycota|Pezizomycotina|Arthrosporium,Arthrosporiu,1
Fungi|Ascomycota|Pezizomycotina|Bactridium,Bactridiu,9
Fungi|Ascomycota|Pezizomycotina|Chromosporium,Chromosporiu,5
Fungi|Ascomycota|Pezizomycotina|Cryptomycina,Cryptomycin,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes,Dothideomycete,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Acrospermales,Acrospermale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Acrospermales|Acrospermaceae,Acrospermacea,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Acrospermales|Acrospermaceae|Acrospermum,Acrospermu,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales,Botryosphaeriale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae,Botryosphaeriacea,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Botryosphaeria,Botryosphaeri,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Dothiorella,Dothiorell,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Guignardia,Guignardi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Haplosporella,Haplosporell,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Macrophoma,Macrophom,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta,Phyllostict,16
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta cruenta,Phyllosticta cruent,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dilophospora,Dilophospor,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae,Dothideomycetida,0
