classification,count
Butyriboletus,1
Chromista|Oomycota|Oomycetes|Peronosporales|Albuginaceae|Albugo,16
Chromista|Oomycota|Oomycetes|Peronosporales|Albuginaceae|Cystopus,4
Chromista|Oomycota|Oomycetes|Peronosporales|Peronosporaceae|Peronospora,11
Fungi,1
Fungi|Algae|Basidiomycota|Agaricomycotina|Agaricomycetes|Agaricomycetidae|Agaricales|Tubiferaceae|Agaricaceae|Lycoperdon,51
Fungi|Ascomycota|Pezizomycotina,3
Fungi|Ascomycota|Pezizomycotina|Arthrosporium,1
Fungi|Ascomycota|Pezizomycotina|Bactridium,9
Fungi|Ascomycota|Pezizomycotina|Chromosporium,5
Fungi|Ascomycota|Pezizomycotina|Cryptomycina,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Acrospermales|Acrospermaceae,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Acrospermales|Acrospermaceae|Acrospermum,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Botryosphaeria,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Dothiorella,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Guignardia,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Haplosporella,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Macrophoma,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta,16
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Phyllosticta|Phyllosticta cruenta,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dilophospora,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae|Asterina,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae|Dimerosporium,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae|Lembosia,1
