year,count
1859,1
1860,1
1870,1
1872,1
1876,7
1877,5
1878,2
1879,5
1880,5
1881,1
1882,1
1883,3
1884,5
1885,3
1886,11
1887,7
1888,3
1889,18
1890,7
1891,14
1892,34
1893,19
1894,35
1895,14
1896,14
1897,99
1898,73
1899,143
1900,57
1901,85
1902,135
1903,82
1904,22
1905,5
1906,13
1907,3
1908,53
1909,70
1910,31
1911,14
1912,27
1913,64
1914,17
1915,8
1916,5
1917,2
1918,6
1919,34
1920,29
1921,42
1922,26
1923,43
1924,39
1925,26
1926,13
1927,12
1928,28
1929,243
1930,98
1931,188
1932,572
1933,536
1934,439
1935,1098
1936,672
1937,614
1938,419
1939,160
1940,189
1941,146
1942,60
1943,4
1944,35
1945,60
1946,136
1947,181
1948,55
1949,35
1950,25
1953,3
1954,1
1958,2
1960,1
1961,5
1963,1
1964,149
1965,9
1969,1
1970,2
2014,1
2017,1
