season,episode,count,title,date
1,1,1,Help Wanted,"May 1, 1999"
1,2,2,Reef Blower,"May 1, 1999"
1,3,3,Tea at the Treedome,"May 1, 1999"
1,4,4,Bubblestand,"July 17, 1999"
1,5,5,Ripped Pants,"July 17, 1999"
1,6,6,Jellyfishing,"July 31, 1999"
1,7,7,Plankton!,"July 31, 1999"
1,8,8,Naughty Nautical Neighbors,"August 7, 1999"
1,9,9,Boating School,"August 7, 1999"
1,10,10,Pizza Delivery,"August 14, 1999"
1,11,11,Home Sweet Pineapple,"August 14, 1999"
1,12,12,Mermaid Man and Barnacle Boy,"August 21, 1999"
1,13,13,Pickles,"August 21, 1999"
1,14,14,Hall Monitor,"August 28, 1999"
1,15,15,Jellyfish Jam,"August 28, 1999"
1,16,16,Sandy's Rocket,"September 17, 1999"
1,17,17,Squeaky Boots,"September 17, 1999"
1,18,18,Nature Pants,"September 11, 1999"
1,19,19,Opposite Day,"September 11, 1999"
1,20,20,Culture Shock,"September 18, 1999"
1,21,21,F.U.N.,"September 18, 1999"
1,22,22,MuscleBob BuffPants,"October 2, 1999"
1,23,23,Squidward the Unfriendly Ghost,"October 2, 1999"
1,24,24,The Chaperone,"March 8, 2000"
1,25,25,Employee of the Month,"March 8, 2000"
1,26,26,Scaredy Pants,"October 28, 1999"
1,27,27,I Was a Teenage Gary,"October 28, 1999"
1,28,28,SB-129,"December 31, 1999"
1,29,29,Karate Choppers,"December 31, 1999"
1,30,30,Sleepy Time,"January 17, 2000"
1,31,31,Suds,"January 17, 2000"
1,32,32,Valentine's Day,"February 14, 2000"
1,33,33,The Paper,"February 14, 2000"
1,34,34,Arrgh!,"March 15, 2000"
1,35,35,Rock Bottom,"March 15, 2000"
1,36,36,Texas,"March 22, 2000"
1,37,37,Walking Small,"March 22, 2000"
1,38,38,Fools in April,"April 1, 2000"
1,39,39,Neptune's Spatula,"April 1, 2000"
1,40,40,Hooky,"February 23, 2001"
1,41,41,Mermaid Man and Barnacle Boy II,"March 3, 2001"
2,1,42,Your Shoe's Untied,"February 17, 2001"
2,2,43,Squid's Day Off,"February 17, 2001"
2,3,44,Something Smells,"October 26, 2000"
2,4,45,Bossy Boots,"October 26, 2000"
2,5,46,Big Pink Loser,"February 3, 2001"
2,6,47,Bubble Buddy,"February 3, 2001"
2,7,48,Dying for Pie,"January 27, 2001"
2,8,49,Imitation Krabs,"January 27, 2001"
2,9,50,Wormy,"February 24, 2001"
2,10,51,Patty Hype,"February 24, 2001"
2,11,52,Grandma's Kisses,"April 28, 2001"
2,12,53,Squidville,"April 28, 2001"
2,13,54,Prehibernation Week,"May 5, 2001"
2,14,55,Life of Crime,"May 5, 2001"
2,15,56,Christmas Who?,"December 6, 2000"
2,16,57,Survival of the Idiots,"May 19, 2001"
2,17,58,Dumped,"May 19, 2001"
2,18,59,No Free Rides,"April 14, 2001"
2,19,60,I'm Your Biggest Fanatic,"April 14, 2001"
2,20,61,Mermaid Man and Barnacle Boy III,"September 14, 2001"
2,21,62,Squirrel Jokes,"September 14, 2001"
2,22,63,Pressure,"May 12, 2001"
2,23,64,The Smoking Peanut,"May 12, 2001"
2,24,65,Shanghaied,"March 9, 2001"
2,25,66,Gary Takes a Bath,"July 26, 2003[39][c]"
2,26,67,Welcome to the Chum Bucket,"January 21, 2002"
2,27,68,Frankendoodle,"January 21, 2002"
2,28,69,The Secret Box,"September 7, 2001"
2,29,70,Band Geeks,"September 7, 2001"
2,30,71,Graveyard Shift,"September 6, 2002"
2,31,72,Krusty Love,"September 6, 2002"
2,32,73,Procrastination,"October 19, 2001"
2,33,74,I'm With Stupid,"October 19, 2001"
2,34,75,Sailor Mouth,"September 21, 2001"
2,35,76,Artist Unknown,"September 21, 2001"
2,36,77,Jellyfish Hunter,"September 28, 2001"
2,37,78,The Fry Cook Games,"September 28, 2001"
2,38,79,Squid on Strike,"October 12, 2001"
2,39,80,"Sandy, SpongeBob, and the Worm","October 12, 2001"
3,1,81,The Algae's Always Greener,"March 22, 2002"
3,2,82,SpongeGuard on Duty,"March 22, 2002"
3,3,83,Club SpongeBob,"July 12, 2002"
3,4,84,My Pretty Seahorse,"July 12, 2002"
3,5,85,Just One Bite,"October 5, 2001"
3,6,86,The Bully,"October 5, 2001"
